symbol,score,atr_pct_med,hl_pct_med,rv_ann,qv_24h,days
HBARUSDT,0.055014925617329645,5.2685316221752645,4.622889193022834,67.39447371125429,38503574.04105,400
ETCUSDT,0.059613271844089044,5.2256341789052065,4.642861757413285,72.22729077041116,30087713.495,400
VTHOUSDT,0.09319976340870173,5.642402710071883,4.740498049475944,80.00792958737652,17514569.2577723,400
CAKEUSDT,0.09425986872017325,4.976251623714663,4.735317480924381,82.64741197020477,26252066.8737,400
IOSTUSDT,0.15211926992147698,5.751050420168069,4.8627211714459975,124.48599578801624,28175606.8741112,400
DOGEUSDT,0.18085736898975996,5.6947276434605305,4.992880397924781,73.06714735531948,424315450.2041,400
XMRUSDT,0.1888811735902854,5.358427330429763,5.281182348295047,82.09663325715741,52819090.39,400
POLUSDT,0.22327177858197322,5.7055461593114005,5.11114411630156,75.38740194986097,30775072.9359,400
TRUMPUSDT,0.3359755518898811,5.983213429256596,5.229752125873752,92.25259156516285,84482785.45812,400
LSKUSDT,0.4143189281631537,5.994060643951235,5.455376528930558,170.35457840391825,328498405.77556,400
GUSDT,0.510937910981882,6.442577030812325,5.391629244991281,104.07615836019089,247915359.868437,400
SEIUSDT,0.5142762028972341,6.204519341248565,5.588711915969929,80.71511728271308,17290551.34468,400
KSMUSDT,0.6126886879661759,6.6112915535204,5.563134499732844,84.93296216334203,45305304.806,400
ASTERUSDT,0.6270499837314338,6.407990153524946,5.765845070422536,122.7381308520513,55016054.5277,365
AVAUSDT,0.6526909054926027,6.375215146299483,5.868239810319523,100.4857446943882,322175478.34156,400
AAVEUSDT,0.6614576903451788,6.367424519336208,5.900564840325773,86.7752313168506,136686882.814,400
ICPUSDT,0.7848541387226635,6.9292732043693155,5.827773753225877,105.01005132586016,22665653.925,400
SUSHIUSDT,0.8649158123024883,6.945559122525415,6.054259106109091,96.43047568225131,14344042.3614,400
FILUSDT,0.9272467081803847,7.162267080745342,6.070226377970771,109.7474923193096,103065335.51155,400
WLFIUSDT,0.9329469115344071,7.017926885476553,6.200709463325316,98.69925760653983,24563563.22164,392
ONDOUSDT,0.9378887958358916,6.866767436838693,6.334285813919612,89.0343797070167,191724886.87519,400
GALAUSDT,0.9762609653602872,7.131185807656396,6.241147308781874,97.49126478458211,31481859.247598,400
RENDERUSDT,1.0542769445707272,7.230068918573981,6.396599958992895,94.43576174375761,21519627.3723,400
RAYSOLUSDT,1.0624031108210863,7.02928668084284,6.578695215890804,101.42101661058902,71181784.16761,400
FFUSDT,1.1238591352603473,7.163634029142007,6.656780359202496,129.83119096675293,16210067.29617,355
CRVUSDT,1.1533266749548492,7.400000000000004,6.559076245926468,93.19275522492913,36783476.46773,400
HYPEUSDT,1.16935022797432,7.178729844516714,6.780877747750557,94.31208452788896,954208864.0063,400
LDOUSDT,1.2068384865490467,7.47024611947772,6.663799403340123,95.95687385984691,17454287.4937,400
ONEUSDT,1.209286127211051,7.7263581488933575,6.469819424491539,125.72124749860983,764349611.8189623,400
MORPHOUSDT,1.2104113056909767,7.495400120832646,6.654707525251708,94.91117325659847,15563501.17582,400
ARUSDT,1.2378706440076173,7.551905794855905,6.692365486142616,111.12722905784709,15366708.091,400
INJUSDT,1.2805189334511646,7.538689412125236,6.830218834663138,99.6263245938002,58573647.9408,400
TAOUSDT,1.2980843269527826,7.700126760900241,6.755833367782709,93.45704253405822,129098945.25,400
JUPUSDT,1.3224167189763865,7.602460432649111,6.905319605517304,94.78603506285509,32676499.4475,400
STRKUSDT,1.3379568689267713,7.771831114770593,6.818645829466565,114.11606658143975,38933237.89375,400
BABYUSDT,1.3381797391576882,7.943177270908365,6.684639646828249,111.0671008614156,19426398.56926,400
COTIUSDT,1.3422019185459535,7.8098278417512255,6.8014691419338265,132.2273510469646,173395191.542661,400
FETUSDT,1.3563695101628757,7.745566845985256,6.894319716503086,109.473282393724,58037962.7009,400
PENDLEUSDT,1.4246976332226384,7.66243924241578,7.163871912482248,95.90719512242292,30188693.312,400
ZENUSDT,1.4476782056863062,7.884642704929677,7.057911031112817,116.05809788993831,33180316.525,400
WIFUSDT,1.4808627955604754,8.192256341789049,6.915318049405425,103.94869319577813,16846682.53387,400
TIAUSDT,1.5021361022454283,8.16735204720186,6.998472899673096,106.20841656432209,36530974.9508,400
STGUSDT,1.5179599581455694,8.148893360160967,7.060274591974412,148.31863792432196,31086919.977,400
ZROUSDT,1.5881362393693772,8.114628954788095,7.296945675710384,97.89710849856891,30847482.46239,400
ETHFIUSDT,1.716868974429583,8.17793271411857,7.631942963028588,103.29276475460651,30805142.40786,400
WLDUSDT,1.7319581190592923,8.267891286533736,7.606336473133386,128.10326435836757,215418766.5155,400
PENGUUSDT,1.779817165162937,8.398581769833067,7.6466576147270215,105.29183767110956,53946736.767553,400
DASHUSDT,1.846830616890375,8.80800727934486,7.525150462088589,138.32280458214524,136291889.6,400
REZUSDT,1.8489374734233321,8.620946423917497,7.6784708734108325,104.9382326800546,24292692.060538,400
AEROUSDT,1.8656816184235294,8.546997556898548,7.78663650023848,109.30765152457451,31562766.12177,400
ENAUSDT,1.8925035737740852,8.710362451859046,7.738401736004155,108.33269237832768,270127172.6473,400
